,2mTemp,2mDpt,sfcCAPE,sfcCIN,sfcPotentialTmp,sfcPressure,PWAT,2mRH,srh,lifted index 180-0 mb above gnd Best (4-layer),10m wind speed,250mb Geopotenial height,250mb Temperature,250mb wind speed,500mb Geopotenial height,500mb Temperature,500mb wind speed,700mb Geopotenial height,700mb Temperature,700mb wind speed,850mb Geopotenial height,850mb Temperature,850mb wind speed,925mb Geopotenial height,925mb Temperature,925mb wind speed,COUNT,countBinary
1988-01-01,270.04900000000004,264.886,8.248339999999999,-1.53625,273.057,94784.5,10.0776,70.1008,137.6,11.1309,4.27317,10340.9,219.245,39.2179,5600.24,250.105,23.0674,3062.38,263.87,12.577,1542.46,269.673,8.15822,872.3689999999998,271.28,7.336889999999999,0,0
1983-07-20,304.809,290.747,1438.35,-56.1018,312.767,93783.5,34.8077,48.3317,46.4506,-3.36606,4.46368,11021.5,232.349,16.0046,5935.55,267.433,8.93475,3209.63,285.048,7.375589999999999,1547.63,296.883,6.72205,800.15,302.224,5.89858,0,0
1984-08-24,301.137,286.9840000000001,444.995,-22.5192,308.494,93685.9,29.9403,46.1277,54.3611,0.261409,3.92233,10927.9,229.863,15.6556,5877.09,266.071,6.34058,3170.82,282.675,4.84895,1525.14,293.305,5.55042,787.293,298.321,5.28552,0,0
2013-10-27,288.373,278.415,158.127,-12.6892,292.065,93640.9,15.0216,54.1252,119.448,4.90151,4.07533,10612.4,222.69,30.8064,5725.11,259.221,16.5498,3086.76,275.288,8.62861,1490.83,284.119,6.81842,779.768,288.508,6.44224,0,0
1988-06-25,303.819,286.022,647.9680000000002,-23.5984,312.921,93749.0,33.6575,38.7005,40.6006,-0.241932,4.79937,10957.2,230.055,14.3019,5905.64,266.433,9.88197,3188.77,283.689,6.11721,1538.42,294.458,5.75215,797.0110000000002,300.113,5.48868,3,0
2002-02-22,282.958,270.433,8.25838,-0.642463,287.516,93926.6,8.82611,48.2417,155.678,9.47917,4.18998,10474.4,220.76,41.0157,5649.88,254.915,21.9227,3058.44,270.266,12.3918,1496.32,278.952,8.329930000000001,799.035,282.476,7.0097,0,0
1986-02-21,278.738,270.59,34.3142,-38.984,283.538,93610.9,9.915,64.3155,125.503,4.2785400000000005,3.96204,10368.2,221.39,40.3433,5608.98,251.55,21.5269,3035.24,270.628,11.7712,1465.13,279.088,7.641669999999999,773.2360000000001,279.1,6.1647300000000005,0,0
1989-11-14,286.613,277.038,411.108,-13.4869,290.728,93161.5,15.747,58.7375,110.851,2.15801,4.32608,10482.0,224.025,36.4032,5642.96,255.315,20.0673,3036.09,272.98,12.63,1450.85,282.87,8.9219,742.028,287.25,7.71236,0,0
2007-03-27,292.855,282.192,390.032,-25.3204,298.97,93452.2,19.8804,55.7954,127.01,1.34374,6.10196,10611.5,221.09,25.9232,5734.32,259.543,14.4685,3087.4,276.651,10.3826,1481.33,286.373,9.68828,764.2710000000002,291.096,8.85909,4,0
1997-01-29,273.848,266.607,5.15836,0.26899,277.057,94490.6,8.32043,64.7637,131.042,10.4105,3.64359,10432.5,217.001,34.8154,5655.55,253.75,16.034000000000002,3076.45,268.393,10.1232,1527.18,275.265,6.916460000000002,844.295,275.124,5.13845,0,0
2001-03-19,283.77,274.161,13.3467,-1.98153,289.632,94104.6,10.249,56.71,114.835,7.370789999999999,3.71128,10418.2,219.977,33.7188,5633.34,253.053,18.6169,3060.74,267.809,9.43334,1508.9,277.324,6.25723,813.7280000000002,282.275,5.8141300000000005,0,0
2006-08-15,303.019,288.082,792.2669999999998,-28.6042,310.638,93693.0,32.042,44.3798,56.0589,-0.902682,3.74215,10948.4,230.149,16.6105,5898.05,266.199,8.55665,3184.59,283.658,6.40888,1533.73,294.471,5.35572,792.137,300.24,4.93567,0,0
2001-06-08,300.071,287.4790000000001,595.398,-18.5284,308.249,93600.8,28.8442,50.8466,54.2301,-1.25376,3.72186,10824.3,227.566,18.9271,5832.57,263.593,11.5371,3147.18,280.656,6.794460000000001,1512.7,292.014,4.92022,778.33,297.453,4.62138,1,0
2010-06-29,301.408,287.716,569.435,-38.1196,309.752,93791.7,30.5356,47.6532,68.2072,0.345845,5.87827,10927.5,230.438,16.2172,5884.15,265.853,9.47863,3177.29,282.663,7.94734,1533.11,292.826,7.34006,796.178,298.23,7.557360000000001,0,0
1988-04-17,289.434,277.145,273.335,-22.9776,297.3590000000001,93079.2,16.7701,49.6502,97.924,4.16905,6.29318,10493.8,223.288,36.3765,5641.26,256.676,21.2856,3026.62,273.121,13.7825,1442.94,282.377,10.0484,734.4939999999998,287.685,9.22473,1,0
2002-03-03,269.783,260.627,4.9545900000000005,0.107978,275.378,94348.9,4.28139,56.8345,134.535,16.5221,5.39119,10213.2,222.541,44.4662,5472.22,247.56,31.0317,2974.03,258.532,16.8225,1486.48,264.065,9.78357,827.6339999999999,267.812,7.86225,0,0
2011-02-03,268.413,263.783,3.8747,-0.5657760000000001,272.732,94357.1,8.35585,73.455,246.43,13.2967,4.80405,10390.7,224.966,35.8195,5588.15,251.939,23.3209,3028.11,266.232,13.2585,1504.36,269.318,8.29043,835.576,269.878,8.02627,0,0
2004-03-14,285.156,276.119,71.1529,-6.0089,290.738,94057.6,14.8708,58.1014,108.147,5.0655800000000015,4.58864,10428.6,219.226,36.7572,5652.1,253.157,18.7384,3072.06,269.943,10.59,1509.75,278.134,6.82441,813.209,282.831,6.42044,0,0
2009-01-17,279.076,272.176,17.5376,-6.7111100000000015,282.325,94097.4,9.97086,66.3924,147.21,7.73377,4.51673,10445.8,219.926,36.4405,5653.3,254.177,22.5942,3067.82,269.764,17.9912,1508.82,277.356,12.9123,817.2860000000002,280.367,10.1688,0,0
2013-11-06,283.7290000000001,276.117,138.639,-2.10198,287.1,94259.2,15.8682,62.5212,76.1748,6.80565,3.83193,10587.3,228.255,35.7143,5699.34,255.571,20.1252,3102.42,270.492,11.5969,1537.42,278.774,8.06586,839.541,283.071,7.18163,0,0
1996-11-15,283.634,278.24,143.434,-6.53112,288.184,93465.4,18.8481,73.6617,226.836,3.30051,6.70787,10518.2,221.854,32.0777,5655.67,256.652,20.0686,3043.72,272.738,14.983,1464.97,280.467,14.6206,763.5169999999998,283.712,12.889,0,0
1990-08-29,303.644,286.5,894.3810000000002,-29.1425,310.898,93543.9,28.224,40.3829,65.4352,-0.6818930000000001,3.23488,10920.2,229.241,17.3994,5882.27,266.15,11.3578,3175.51,283.026,7.23285,1522.29,295.999,4.38811,777.4019999999998,301.736,4.13317,1,0
1988-04-29,294.556,280.215,289.573,-12.2749,302.085,93362.8,19.0135,45.3642,86.4661,1.03263,5.16306,10588.9,223.685,30.9632,5713.55,257.79900000000004,14.272,3082.94,275.711,7.35603,1477.28,287.411,6.604660000000001,755.826,292.714,6.22304,2,0
1986-12-19,277.07,272.699,4.93275,-1.12716,280.468,93802.6,9.88922,74.6714,70.145,9.38071,2.49521,10415.7,219.913,32.7723,5632.06,254.315,15.5595,3040.21,270.571,8.54001,1479.88,276.772,4.86878,791.578,278.725,3.50246,0,0
1995-06-08,296.401,285.073,1269.25,-30.5095,304.512,93545.6,24.5892,58.2604,122.616,0.413962,5.40476,10791.6,227.126,27.7467,5816.25,263.026,14.7551,3131.57,281.172,9.29406,1504.33,289.331,7.271660000000002,777.75,294.0490000000001,6.72613,29,1
1998-10-09,292.795,280.907,27.1789,-23.5174,296.822,93658.9,13.5922,51.1447,76.1166,6.2867,3.1901,10776.1,225.287,20.3296,5816.52,263.373,10.7882,3132.82,281.246,5.10323,1503.53,289.7920000000001,4.66944,780.5060000000002,292.829,4.85757,0,0
